,taxonid,taxonname,taxagroupid,datasettypeids
0,46793,10% KOH extraction,LAB,"[18, 36, 37, 33, 15, 32, 38, 16, 34, 17, 30, 2, 6, 3, 8, 7, 4, 5]"
1,28461,206Pb/204Pb,ISO,"[31, 14, 24]"
2,28464,206Pb/207Pb,ISO,"[31, 14, 24]"
3,28462,207Pb/204Pb,ISO,"[14, 31, 24]"
4,28463,208Pb/204Pb,ISO,"[14, 24, 31]"
5,48874,2Fe,CHM,"[26, 18, 14, 10, 21, 28, 27, 19, 22, 2, 20]"
6,28456,87Sr/86Sr,ISO,"[14, 24, 31]"
7,47242,Aaronsohnia-type,VPL,"[40, 3, 23, 4, 38, 7]"
8,30494,Abatia,VPL,"[38, 40, 3, 4, 23, 7]"
9,19608,Abdiunguis sp.,INS,"[30, 29, 8, 38, 3]"
10,1,Abies,VPL,"[40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3, 40, 38, 7, 4, 23, 3]"
